Info,Profit,ID,Open time,Open Price,Close Time,Close Price,Type,Amount,Income
American Express (OTC),87%,82e92d20-1fa3-4282-81fc-4a96d3761446,2023-12-09 11:25:01,151.896,2023-12-09 11:26:01,151.881,Down,500,935
American Express (OTC),87%,5bb18ce9-d3e3-4fa0-90ba-33bab7f7a9fe,2023-12-09 11:24:03,151.866,2023-12-09 11:25:03,151.9,Down,250,0
AUD/CAD (OTC),90%,6d06490f-6c08-4bb0-98d7-a212d5400026,2023-12-09 09:13:00,0.89206,2023-12-09 09:14:00,0.89179,Down,250,475
Boeing Company (OTC),87%,0b8fd13c-34ee-4b2e-ac7f-d3898d5ab496,2023-12-09 09:04:01,219.07,2023-12-09 09:05:01,218.97,Down,250,467.5
EUR/AUD (OTC),90%,0c356de1-e665-466d-89d2-178f1ab28707,2023-12-09 08:54:01,1.65489,2023-12-09 08:55:01,1.65435,Down,250,475
AUD/JPY (OTC),76%,57e09e42-163b-4fd2-b782-8ffb59b01387,2023-12-09 08:43:01,93.949,2023-12-09 08:44:01,93.857,Down,250,440
AUD/CAD (OTC),88%,ba930f85-ae0e-40b8-9207-6b3db04b9907,2023-12-09 08:08:01,0.89472,2023-12-09 08:09:01,0.89471,Down,520,977.6
AUD/CAD (OTC),88%,253e0e3a-d1eb-44b2-a46a-0b5159363424,2023-12-09 08:02:01,0.89543,2023-12-09 08:03:01,0.89485,Down,520,977.6
USD/INR (OTC),90%,57e308e8-a42a-4e67-a277-6fd5216f1fab,2023-12-09 07:36:11,83.4444,2023-12-09 07:37:11,83.4391,Down,1020,1938
USD/INR (OTC),90%,77ab1f66-3953-4018-86c6-5ee6c6562c08,2023-12-09 07:35:00,83.4384,2023-12-09 07:36:00,83.4464,Down,520,0
USD/INR (OTC),86%,28de3c1a-6c6e-4eea-8eba-c4b31dc04232,2023-12-09 07:24:01,83.4151,2023-12-09 07:25:01,83.4097,Down,1020,1897.2
USD/INR (OTC),86%,34ab5ff2-6a51-48dc-9c21-2ec3b0c84fd6,2023-12-09 07:23:01,83.4121,2023-12-09 07:24:01,83.4151,Down,1020,0
USD/INR (OTC),86%,a3a3da30-96ce-4391-8443-2da4d658eb75,2023-12-09 07:22:05,83.4096,2023-12-09 07:23:05,83.4119,Down,520,0
USD/INR (OTC),86%,2a5af593-c896-47d7-81d0-68ae64b44c36,2023-12-09 07:21:01,83.4062,2023-12-09 07:22:01,83.4078,Down,520,0
USD/INR (OTC),90%,f1952051-1e63-410f-acba-3ae4d7fac3f2,2023-12-09 07:20:00,83.3986,2023-12-09 07:21:00,83.4042,Down,260,0
EUR/AUD (OTC),90%,7d5b7d48-279c-4e8a-82fb-927345dca4dc,2023-12-09 07:14:01,1.65038,2023-12-09 07:15:01,1.65032,Down,1000,1900
EUR/AUD (OTC),90%,e1ddf2d8-b789-49b0-8a8d-cf86bf65793b,2023-12-09 07:13:01,1.64981,2023-12-09 07:14:01,1.65038,Down,500,0
USD/INR (OTC),86%,b31343b2-ea27-4503-8b84-304e3b418df3,2023-12-09 07:11:01,83.4131,2023-12-09 07:12:01,83.4136,Down,254,0
EUR/JPY (OTC),90%,fea17de9-6406-4ab9-8a35-d91a046f82ad,2023-12-09 06:57:00,155.701,2023-12-09 06:58:00,155.695,Down,250,475